strategy_id,data_tier,required_source,entry_detector_status,dependency_state
BO12,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
BO13,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
BO14,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TD01,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD02,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD03,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD04,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD05,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD06,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD07,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
TD08,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD09,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD10,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD11,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
TD12,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
CS01,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS02,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS03,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS04,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS06,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS07,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS08,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS09,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS10,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS11,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS12,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS13,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS14,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS15,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
CS16,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
RS01,D2,stock plus aligned NIFTY sector and India VIX OHLCV,REFERENCE_MANIFEST_AVAILABLE,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
RS02,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
RS03,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
RS04,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
RS05,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
RS06,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
RS07,D3,synchronized point-in-time cross-sectional panel and breadth,DETECTOR_REQUIRED,REQUIRES_POINT_IN_TIME_CROSS_SECTIONAL_PANEL
RS08,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
SW01,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW02,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW03,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW04,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW05,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW06,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW07,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW08,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW09,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW10,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
SW11,D1,qualified stock OHLCV,DETECTOR_REQUIRED,STOCK_OHLCV_AVAILABLE_NEEDS_DETECTOR
SW12,D2,stock plus aligned NIFTY sector and India VIX OHLCV,DETECTOR_REQUIRED,REQUIRES_ALIGNED_NIFTY_SECTOR_VIX_AUDIT
