bucket_type,bucket_key,decision_count,trade_count,win_rate_pct,avg_return_pct,median_return_pct,after_tax_net_pnl,open_position_count,open_unrealized_net_liquidation_pnl
SECTOR,Oil Gas & Consumable Fuels,4308,4,100.0,0.1452,0.1439,1158.858,0,0
SECTOR,Power,4949,3,100.0,0.1486,0.1478,890.9302,0,0
SECTOR,Realty,1436,1,100.0,0.1437,0.1437,286.6578,0,0
SECTOR,Services,1436,1,100.0,0.1437,0.1437,285.6541,0,0
SECTOR,Telecommunication,718,0,,,,0.0,0,0
DECISION,DATA_INSUFFICIENT,279,0,,,,0.0,0,0
DECISION,DO_NOT_CHASE,6913,0,,,,0.0,0,0
DECISION,ENTERABLE_TIER_A,7,4,100.0,0.2349,0.1447,1873.1502,0,0
DECISION,ENTERABLE_TIER_B,16,14,100.0,0.1981,0.1463,5533.3411,0,0
DECISION,NO_OPPORTUNITY,60586,0,,,,0.0,0,0
DECISION,REJECT_LIQUIDITY,54,0,,,,0.0,0,0
DECISION,REJECT_POOR_RR,752,0,,,,0.0,0,0
DECISION,REJECT_STOP_INVALID,4,0,,,,0.0,0,0
DECISION,SETUP_FORMING,61,0,,,,0.0,0,0
DECISION,WAIT,66,0,,,,0.0,0,0
DECISION,WAIT_FOR_TRIGGER,1,0,,,,0.0,0,0
DECISION,WATCHLIST,4,0,,,,0.0,0,0
